firm_id,firm_name,industry_code,region_code,founded,employees,export_status,revenue_q1,revenue_q2,revenue_q3,revenue_q4,investment
101,Amber Analytics,TECH,CENTRAL,2018-04-16,37,Yes,1190,1260,1320,1410,250
102,Birch Components,MFG,NORTH,2009-09-03,111,Y,2590,2680,2750,2870,470
103,Cobalt Foods,AGR,EAST,2014-02-12,61,No,1610,1570,1690,1760,195
104,Danube Distribution,LOG,SOUTH,2006-11-25,82,N,2070,2140,2230,2350,360
105,Elm Retail,RET,CENTRAL,2019-07-08,27,no,790,850,910,990,80
106,Fern Energy,ENE,EAST,2001-05-21,149,YES,3650,3740,3860,4010,740
107,Garnet Systems,TECH,NORTH,2016-01-19,47,yes,1570,1680,1810,1970,380
108,Harbor Manufacturing,MFG,SOUTH,1998-08-30,196,Yes,4520,4670,4790,4950,910
109,Iris Logistics,LOG,CENTRAL,2012-10-11,70,N,1920,1990,2070,2160,305
110,Juniper Markets,RET,EAST,2020-03-14,24,No,680,730,790,850,65
111,Kestrel Farms,AGR,NORTH,2007-06-07,87,Y,2260,2210,2340,2460,285
112,Linden Software,TECH,SOUTH,2015-12-02,60,YES,1970,2080,2210,2380,510
113,Maple Power,ENE,CENTRAL,2004-04-27,138,yes,3450,3520,3660,3820,700
114,Nova Textiles,MFG,EAST,2010-09-18,126,N,2760,2820,2910,3010,450
115,Orchid Freight,LOG,NORTH,2017-07-01,43,No,1310,1370,1440,1530,170
116,Pine Stores,RET,SOUTH,2013-05-09,55,N,1480,1530,1600,1690,145
117,Quartz Robotics,TECH,CENTRAL,2021-02-23,29,Y,890,1020,1180,1370,560
118,Rowan Produce,AGR,EAST,2003-01-15,101,no,2490,2440,2570,2690,260
119,Saffron Engineering,MFG,NORTH,1996-10-04,229,Yes,5190,5310,5450,5620,1110
120,Topaz Renewables,ENE,SOUTH,2011-06-29,91,Y,2520,2610,2730,2890,630
